,Name,Author
76,atkis-dom-digitales-oberflachenmodell-wms-31a76562,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
77,atkis-einrichtungen-fur-den-schiffsverkehr-punkte-wfs-5663514b,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
78,atkis-fahrbahnachse-linien-wfs-436ced8f,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
79,atkis-fahrwegachse-linien-wfs-e6b11956,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
80,atkis-flache-besonderer-funktionaler-pragung-geschlossen-flache-wfs-6baa3b3c,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
81,atkis-flache-besonderer-funktionaler-pragung-offen-flache-wfs-aca7d69b,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
82,atkis-flache-gemischter-nutzung-geschlossen-flache-wfs-1e62b3b5,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
83,atkis-flache-gemischter-nutzung-offen-flache-wfs-c902fb54,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
84,atkis-fliessgewasser-flache-wfs-90bbffab,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
85,atkis-flugverkehr-flache-wfs-9d492c36,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
86,atkis-flugverkehrsanlage-flache-wfs-1e3b86de,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
87,atkis-flugverkehrsanlage-punkte-wfs-8b2f0f46,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
88,atkis-friedhof-flache-wfs-dcc3c6ac,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
89,atkis-gebietsgrenze-linien-wfs-7274ed0c,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
90,atkis-geholz-flache-wfs-8d11e3ab,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
91,atkis-gewasserachse-linien-wfs-fe2cc669,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
92,atkis-gewasserstationierungsachse-linien-wfs-3e638b82,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
93,atkis-hafenbecken-flache-wfs-122b7181,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
94,atkis-hafen-flache-wfs-ca15ea20,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
95,atkis-historisches-bauwerk-oder-historische-einrichtung-punkte-wfs-1f3d8f17,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
96,atkis-hohenlinie-linien-wfs-532aea54,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
97,atkis-industrie-und-gewerbeflache-flache-wfs-4c33a154,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
98,atkis-insel-flache-wfs-88e9a523,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
99,atkis-kommunales-gebiet-flache-wfs-ba6fcf1d,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
100,atkis-landwirtschaft-flache-wfs-fabbfbbf,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
101,atkis-leitung-linien-wfs-285e061d,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
102,atkis-moor-flache-wfs-0d0a3e2a,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
103,atkis-natur-umwelt-oder-bodenschutzrecht-flache-wfs-588ec8e5,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
104,atkis-natur-umwelt-oder-bodenschutzrecht-punkte-wfs-8e0b5fad,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
105,atkis-platz-flache-wfs-67e28b23,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
106,atkis-schifffahrtslinie-fahrverkehr-linien-wfs-ffdaaff6,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
107,atkis-schiffsverkehr-flache-wfs-6927187f,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
108,atkis-schleuse-flache-wfs-e46255f5,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
109,atkis-schutzzone-flache-wfs-68453abc,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin
